,avg_return,median_return,std_return,best_return,worst_return,avg_win_rate,avg_sharpe,avg_drawdown,avg_trades,profit_probability,sample_size
0.0175,-0.16103188975436533,-0.12914821564629064,0.22242977215591553,0.4483218389094815,-0.8814729191509277,0.4095511650448016,-5.092838716573041,-0.30764063317627344,859.9338677354709,0.26452905811623245,499.0
0.003,-0.15088005638417293,-0.12189616635583718,0.2279069658232214,0.552466693249657,-0.8988303155007623,0.41537475791250017,-4.852594437937212,-0.31238310035501093,853.4808080808081,0.27070707070707073,495.0
0.03,-0.1626143342540278,-0.11664623988914508,0.235327278291928,0.4084025007632482,-0.9124573399591621,0.40616785579494796,-4.90625891023949,-0.3168789893141781,854.7140151515151,0.2840909090909091,528.0
0.0075,-0.14188123825056145,-0.10199257518710997,0.22047356356243558,0.35634804765959915,-0.8155538004037738,0.4130466094952803,-4.334264873102945,-0.3082567491830977,803.79633401222,0.27494908350305497,491.0
0.005,-0.15080487027755754,-0.11150389451331244,0.21848170318086024,0.3068368826546264,-0.849360191997497,0.40946441791307703,-5.023677157900313,-0.316302413990459,864.947261663286,0.2535496957403651,493.0
0.025,-0.16166788276917557,-0.10196079957647873,0.23423117997145856,0.39179232406662395,-0.8921772559568543,0.40693213829891767,-4.8738284852423295,-0.31369547106832457,844.737843551797,0.2938689217758985,473.0
0.015,-0.16833191888106447,-0.12223310178757352,0.23045323908712997,0.4525947231350827,-0.9743800406445653,0.4125706437392982,-5.00795194068923,-0.3257006528894925,872.1995967741935,0.25201612903225806,496.0
0.01,-0.17390183342731655,-0.14189492004850715,0.23155358501893405,0.36189265426587464,-0.9333067955357527,0.4053149769537594,-5.412804659181294,-0.32394744558733063,909.9878048780488,0.23373983739837398,492.0
0.0125,-0.15498424792453608,-0.1311346780861094,0.22746227953162243,0.7369934304456321,-0.7988508831144531,0.40891541053528807,-4.870748697994577,-0.3190558290677829,852.4123711340206,0.2556701030927835,485.0
0.02,-0.15914946633851226,-0.1089201767824049,0.24316146278238127,0.36791558670241803,-0.9660820743450764,0.41926639511370567,-5.043864605119356,-0.31731000515271407,879.0379464285714,0.27455357142857145,448.0
0.04,-0.20391108957401546,-0.19541555921144388,0.23880992164921702,0.391314537698604,-0.8688366727024742,0.3923366938243239,-6.319527742299204,-0.3615318397810163,948.8093023255814,0.2,215.0
0.035,-0.16652961245388953,-0.14248804482868366,0.22549283124209377,0.41695540073094733,-0.8613262965289102,0.3992042973176712,-4.651568963332936,-0.3358428790143345,848.2561983471074,0.26859504132231404,242.0
0.05,-0.13617094447819617,-0.10791184746360544,0.24917536209361804,0.4422247004238182,-0.858869867706986,0.41422562515268635,-3.6900306251996504,-0.3332140988850792,757.9946524064171,0.32620320855614976,187.0
