timestamp,open,high,low,close,volume
2025-04-25 16:45:00+00:00,0.18397,0.18399,0.18352,0.18356,575739.0
2025-04-25 16:46:00+00:00,0.18356,0.18374,0.18348,0.18353,825758.0
2025-04-25 16:47:00+00:00,0.18353,0.18353,0.18309,0.18333,1412716.0
2025-04-25 16:48:00+00:00,0.18332,0.1835,0.18328,0.18347,1266940.0
2025-04-25 16:49:00+00:00,0.18348,0.1838,0.18347,0.18373,451680.0
2025-04-25 16:50:00+00:00,0.18373,0.18386,0.1837,0.18374,287668.0
2025-04-25 16:51:00+00:00,0.18373,0.18379,0.18351,0.18357,1018987.0
2025-04-25 16:52:00+00:00,0.18357,0.184,0.18356,0.18396,528236.0
2025-04-25 16:53:00+00:00,0.18395,0.184,0.1837,0.1838,545847.0
2025-04-25 16:54:00+00:00,0.1838,0.18426,0.18377,0.18425,561553.0
2025-04-25 16:55:00+00:00,0.18426,0.18437,0.18414,0.18429,1181209.0
2025-04-25 16:56:00+00:00,0.18428,0.18431,0.18409,0.18412,823622.0
2025-04-25 16:57:00+00:00,0.18412,0.18427,0.18409,0.18415,568837.0
2025-04-25 16:58:00+00:00,0.18415,0.18418,0.18369,0.18382,2090243.0
2025-04-25 16:59:00+00:00,0.18383,0.18387,0.18375,0.18386,1299317.0
2025-04-25 17:00:00+00:00,0.18386,0.18399,0.18367,0.18387,1310979.0
2025-04-25 17:01:00+00:00,0.18388,0.18412,0.18386,0.1841,496256.0
2025-04-25 17:02:00+00:00,0.1841,0.18413,0.18378,0.18402,436138.0
2025-04-25 17:03:00+00:00,0.18403,0.18445,0.18399,0.18444,943371.0
2025-04-25 17:04:00+00:00,0.18444,0.18449,0.18438,0.18448,364931.0
2025-04-25 17:05:00+00:00,0.18447,0.18475,0.18425,0.18466,1804295.0
2025-04-25 17:06:00+00:00,0.18466,0.18468,0.18447,0.18456,837908.0
2025-04-25 17:07:00+00:00,0.18456,0.18464,0.18442,0.18449,1274350.0
2025-04-25 17:08:00+00:00,0.18448,0.18458,0.18433,0.18449,1521685.0
2025-04-25 17:09:00+00:00,0.18449,0.18452,0.18429,0.18432,1587351.0
2025-04-25 17:10:00+00:00,0.18431,0.18461,0.18426,0.18457,604340.0
2025-04-25 17:11:00+00:00,0.18457,0.18463,0.18441,0.18455,1082300.0
2025-04-25 17:12:00+00:00,0.18455,0.18459,0.18436,0.18443,1297642.0
2025-04-25 17:13:00+00:00,0.18443,0.18448,0.18401,0.18406,1082394.0
2025-04-25 17:14:00+00:00,0.18406,0.18426,0.18405,0.18417,1025268.0
2025-04-25 17:15:00+00:00,0.18418,0.18432,0.18417,0.18421,1224034.0
2025-04-25 17:16:00+00:00,0.18422,0.18431,0.18398,0.1841,2214063.0
2025-04-25 17:17:00+00:00,0.18411,0.18431,0.18402,0.18424,765024.0
2025-04-25 17:18:00+00:00,0.18423,0.1845,0.18415,0.18444,309997.0
2025-04-25 17:19:00+00:00,0.18444,0.18469,0.18435,0.18469,560638.0
2025-04-25 17:20:00+00:00,0.1847,0.18476,0.18455,0.18455,534120.0
2025-04-25 17:21:00+00:00,0.18455,0.18469,0.18432,0.18465,1085195.0
2025-04-25 17:22:00+00:00,0.18466,0.18471,0.18444,0.18444,317949.0
