timestamp,open,high,low,close,volume
2025-04-25 16:45:00+00:00,95363.96,95366.3,95295.54,95304.34,12.47186
2025-04-25 16:46:00+00:00,95304.34,95304.35,95260.86,95280.0,10.11269
2025-04-25 16:47:00+00:00,95280.42,95280.43,95227.47,95268.07,13.62482
2025-04-25 16:48:00+00:00,95268.07,95268.07,95227.39,95258.58,8.49501
2025-04-25 16:49:00+00:00,95258.58,95304.35,95258.58,95304.34,7.05238
2025-04-25 16:50:00+00:00,95304.34,95305.85,95291.25,95305.85,5.84853
2025-04-25 16:51:00+00:00,95305.84,95328.0,95228.52,95239.27,19.86739
2025-04-25 16:52:00+00:00,95239.26,95288.54,95239.26,95260.86,14.76339
2025-04-25 16:53:00+00:00,95260.86,95260.87,95217.39,95217.39,4.4564
2025-04-25 16:54:00+00:00,95217.39,95256.71,95217.39,95254.89,3.51374
2025-04-25 16:55:00+00:00,95254.88,95290.64,95243.65,95271.35,6.94979
2025-04-25 16:56:00+00:00,95271.35,95277.6,95200.17,95209.7,15.25273
2025-04-25 16:57:00+00:00,95209.7,95250.0,95209.7,95240.95,6.24688
2025-04-25 16:58:00+00:00,95240.95,95246.0,95187.55,95206.42,12.85959
2025-04-25 16:59:00+00:00,95206.42,95223.82,95195.73,95223.81,6.04659
2025-04-25 17:00:00+00:00,95223.82,95247.04,95201.02,95247.04,7.12775
2025-04-25 17:01:00+00:00,95247.04,95328.49,95247.04,95328.49,7.19356
2025-04-25 17:02:00+00:00,95328.49,95353.9,95261.66,95303.18,22.69328
2025-04-25 17:03:00+00:00,95303.17,95336.26,95303.17,95336.26,7.93856
2025-04-25 17:04:00+00:00,95336.26,95390.81,95336.25,95386.65,4.40701
2025-04-25 17:05:00+00:00,95386.65,95466.54,95362.63,95429.68,47.22755
2025-04-25 17:06:00+00:00,95429.69,95483.46,95397.83,95463.53,40.39528
2025-04-25 17:07:00+00:00,95463.53,95474.37,95440.81,95450.53,10.88612
2025-04-25 17:08:00+00:00,95450.53,95450.54,95430.0,95442.1,4.08883
2025-04-25 17:09:00+00:00,95442.1,95452.96,95381.13,95381.14,6.33228
2025-04-25 17:10:00+00:00,95381.13,95429.7,95362.43,95429.7,5.98572
2025-04-25 17:11:00+00:00,95429.69,95434.79,95412.93,95434.78,7.40188
2025-04-25 17:12:00+00:00,95434.79,95445.0,95414.07,95414.07,5.7155
2025-04-25 17:13:00+00:00,95414.07,95426.27,95324.0,95369.94,9.96599
2025-04-25 17:14:00+00:00,95369.94,95457.25,95369.94,95457.24,4.78949
2025-04-25 17:15:00+00:00,95457.24,95467.18,95424.18,95455.02,5.55902
2025-04-25 17:16:00+00:00,95455.02,95470.95,95421.99,95461.39,8.22954
2025-04-25 17:17:00+00:00,95461.39,95517.6,95461.39,95501.39,21.52245
2025-04-25 17:18:00+00:00,95501.38,95550.0,95482.4,95519.9,35.63545
2025-04-25 17:19:00+00:00,95519.9,95538.5,95503.53,95531.46,15.76851
2025-04-25 17:20:00+00:00,95533.15,95554.99,95478.26,95478.26,28.89665
2025-04-25 17:21:00+00:00,95478.27,95512.8,95478.26,95512.78,4.88292
2025-04-25 17:22:00+00:00,95512.78,95529.09,95463.62,95463.63,8.56512
2025-04-25 17:23:00+00:00,95463.62,95483.02,95436.82,95462.45,17.21497
2025-04-25 17:24:00+00:00,95462.45,95505.02,95461.93,95494.16,5.62648
2025-04-25 17:25:00+00:00,95494.16,95494.17,95434.78,95480.8,22.84608
