strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes
1,btc_small_down_10m,58,26,32,44.827586206896555,2655.3826799636745,0.8409290491241472,12.766357777882305,-3.430449069003292,0.0
2,btc_hl_breakout_3m,26,19,7,73.07692307692307,1942.9458386469914,1.499852788971373,12.739841986455986,-12.41382459023878,0.0
3,btc_hl_breakout_10m,24,8,16,33.33333333333333,1564.9125964371233,2.1764024791111365,27.818576748034747,-10.573776729320448,0.0
4,btc_small_down_10m,15,7,8,46.666666666666664,1396.1134576012491,2.4313588275852758,27.81857674803477,-10.573776729320446,0.0
5,btc_hl_breakout_4m,48,20,28,41.66666666666667,1623.326126169729,0.8345836788192775,18.180921863445885,-10.560164396072766,0.0
6,btc_hl_breakout_10m,36,15,21,41.66666666666667,1482.34979813677,1.0359369286279176,16.87304992199688,-10.573776729320457,0.0
7,btc_bullish,31,12,19,38.70967741935484,1417.9583904470555,1.165682314254301,18.180921863445885,-10.393076365854613,0.0
8,btc_hl_breakout_9m,23,15,8,65.21739130434783,1329.5349260821645,1.4682872734912447,16.87304992199689,-12.73206594385861,0.0
9,btc_vol_breakout_9m,32,17,15,53.125,1380.9486449626115,1.0567285293702542,13.433330178858713,-5.105906664370575,0.0
10,btc_hl_breakout_7m,41,30,11,73.17073170731707,1450.7093521297707,0.8840313292580495,12.739841986455986,-12.553484391859207,0.0
