pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_hl_breakout_7m,0,0.005,0.3,0.0,0.5,90,random,0.255778872018933,25.5778872018933,0.17647058823529413,17,-0.16254747489998989,-16.254747489998987,30.76706941880256,2.8917697974181538,8.19607843137255e-10,2.9604132910797474,12557.78872018933,0.255778872018933
btc_hl_breakout_4m,0,0.06,0.12,0.0,0.5,30,random,0.22732364984120096,22.732364984120096,0.5,16,-0.14489755728663634,-14.489755728663633,28.77588442159028,1.5909372499374554,8.875e-10,2.8886385678086057,12273.23649841201,0.22732364984120096
btc_small_down_10m,0,0.04,0.3,0.0,0.5,90,random,0.22609118123390035,22.609118123390033,0.375,8,-0.1505276044080014,-15.052760440800139,27.221176574488577,2.0814643528512264,1.8041666666666667e-09,5.911793787434923,12260.911812339004,0.22609118123390035
btc_hl_breakout_4m,0,0.04,0.15,0.0,0.5,720,random,0.2155788248609504,21.55788248609504,0.46153846153846156,13,-0.14917102233718615,-14.917102233718616,27.099280556957652,1.7476276866687233,1.1192307692307694e-09,3.3811763853126884,12155.788248609504,0.2155788248609504
btc_hl_breakout_7m,0,0.0125,0.3,0.0,0.5,480,random,0.21418361711694925,21.418361711694924,0.2,15,-0.1674339796048656,-16.74339796048656,26.36974255482692,2.2280192517427095,9.444444444444444e-10,2.912257928398049,12141.836171169492,0.21418361711694925
btc_hl_breakout_4m,0,0.1,0.2,0.0,0.5,90,random,0.20467078239475678,20.46707823947568,0.6666666666666666,6,-0.15698713491340754,-15.698713491340754,25.944243096226714,2.4664217707252374,2.463888888888889e-09,6.802566391951463,12046.707823947567,0.20467078239475678
btc_hl_breakout_7m,0,0.05,0.25,0.0,0.5,120,random,0.20443595143570256,20.443595143570256,0.36363636363636365,11,-0.16714845659669364,-16.714845659669365,25.375551489322337,1.8290615647376751,1.3348484848484849e-09,3.918281767244857,12044.359514357026,0.20443595143570256
btc_hl_breakout_7m,0,0.08,0.12,0.0,0.5,5,random,0.20244309130311477,20.24430913031148,0.5,12,-0.15316195763099794,-15.316195763099794,26.166953811870577,1.6417882516078683,1.2166666666666666e-09,3.474512216047144,12024.430913031149,0.20244309130311477
btc_vol_breakout_2m,0,0.1,0.15,0.0,0.5,1440,random,0.20185564135186368,20.185564135186368,0.625,8,-0.16156235329212632,-16.15623532921263,25.769492342166004,2.0002755738086986,1.8125e-09,5.1198357653354645,12018.556413518636,0.20185564135186368
btc_hl_breakout_9m,0,0.035,0.2,0.0,0.5,20,random,0.1979316437083309,19.79316437083309,0.38461538461538464,13,-0.1568796534580562,-15.68796534580562,25.37365018810474,1.6950171480996836,1.1166666666666667e-09,3.170314362812348,11979.31643708331,0.1979316437083309
btc_hl_breakout_7m,0,0.1,0.12,0.0,0.5,720,random,0.19618194691166826,19.618194691166828,0.5,12,-0.1750581810668883,-17.50581810668883,25.41201265648887,1.560669446869218,1.2180555555555556e-09,3.452246910040314,11961.819469116683,0.19618194691166826
btc_hl_breakout_2m,0,0.06,0.035,0.0,0.5,15,random,0.19533726692731387,19.53372669273139,0.7037037037037037,27,-0.14785902105972826,-14.785902105972825,25.943494758595154,1.552321977305126,5.04320987654321e-10,1.4201135006296073,11953.37266927314,0.19533726692731387
btc_hl_breakout_2m,0,0.06,0.035,0.0,0.5,720,random,0.19533726692731387,19.53372669273139,0.7037037037037037,27,-0.14785902105972826,-14.785902105972825,25.943494758595154,1.552321977305126,5.04320987654321e-10,1.4201135006296073,11953.37266927314,0.19533726692731387
btc_hl_breakout_10m,0,0.08,0.03,0.0,0.5,240,random,0.194649556180364,19.4649556180364,0.75,24,-0.14509060090881687,-14.509060090881686,26.30416909887541,1.627339175995071,5.756944444444444e-10,1.5899746427173531,11946.49556180364,0.194649556180364
btc_hl_breakout_7m,0,0.025,0.02,0.0,0.5,45,random,0.19353457674252195,19.353457674252194,0.5849056603773585,53,-0.11591581371311799,-11.591581371311799,26.213845847041217,1.3532063402466352,2.2264150943396227e-10,0.7260883584387083,11935.34576742522,0.19353457674252195
btc_hl_breakout_4m,0,0.03,0.2,0.0,0.4,480,random,0.19157503976213558,19.157503976213558,0.4166666666666667,12,-0.12232273896200818,-12.232273896200818,29.730039725239887,2.0237824678250598,1.2083333333333334e-09,3.989585448792627,11915.750397621356,0.19157503976213558
btc_hl_breakout_2m,0,0.08,0.12,0.0,0.4,45,random,0.18953721680427016,18.953721680427016,0.5,14,-0.12292653965770872,-12.292653965770873,30.11967001212357,1.6897703839226488,1.0059523809523809e-09,3.4109634743226294,11895.3721680427,0.18953721680427016
btc_hl_breakout_7m,0,0.025,0.12,0.0,0.5,20,random,0.18802692969653234,18.802692969653233,0.32,25,-0.15699678837515896,-15.699678837515895,24.35309901888511,1.4447646400148526,5.733333333333333e-10,1.5746439681464133,11880.269296965324,0.18802692969653234
