strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes
1,btc_small_up_10m,24,19,5,79.16666666666666,2647.3864179535576,2.0803390495286664,12.734540324476844,-15.949647748810927,0.0
2,btc_small_up_10m,19,8,11,42.10526315789473,2360.654631102324,2.5119255351417555,29.194981704129646,-10.519302520368539,0.0
3,btc_small_down_10m,30,26,4,86.66666666666667,2399.5189097402326,1.8524278282769173,12.739841986455994,-12.035476718403554,0.0
4,btc_small_down_10m,62,31,31,50.0,2780.0603172736955,0.8183052165017903,12.766357777882314,-4.4774899910123365,0.0
5,btc_hl_breakout_5m,19,9,10,47.368421052631575,2176.4394283270112,2.343795424244987,24.51565989715887,-11.010563780243093,0.0
6,btc_small_down_10m,58,26,32,44.827586206896555,2655.3826799636745,0.8409290491241472,12.766357777882305,-3.430449069003292,0.0
7,btc_small_up_9m,30,18,12,60.0,2295.1091907923646,1.4626889610763898,16.873049921996888,-10.375991458206224,0.0
8,btc_hl_breakout_2m,44,28,16,63.63636363636363,2465.599160970396,1.0475905101636047,13.433330178858698,-5.498309778845766,0.0
9,btc_hl_breakout_10m,26,19,7,73.07692307692307,2211.1249204145597,1.6394706910075472,12.739841986455977,-11.772213671684385,0.0
10,btc_hl_breakout_7m,23,8,15,34.78260869565217,2147.657430205586,1.9323709889959826,28.076903145566668,-10.57377672932045,0.0
