,avg_return,median_return,std_return,best_return,worst_return,avg_win_rate,avg_sharpe,avg_drawdown,avg_trades,profit_probability,sample_size
0.015,0.030445149937473593,0.02081666432216036,0.038995956125972085,0.1932695593009883,-0.06043901430255401,0.4278794860272408,10.546442412999639,-0.06909642386299891,51.16477272727273,0.8352272727272727,176.0
0.0075,0.029913051577294746,0.02010794943170991,0.043154541786081975,0.2009284610935285,-0.08600331869605106,0.4301352042506176,10.151054089562392,-0.06862951023369085,50.94,0.78,200.0
0.02,0.020129055970172085,0.012973763248405922,0.033587613788890636,0.21073516451871646,-0.05930102431248242,0.4192590342489872,8.268394854332827,-0.06128787222835328,57.266666666666666,0.7833333333333333,180.0
0.0175,0.03337649095850993,0.02164072272659605,0.039934189166835755,0.17572879290856136,-0.050219925779850454,0.4212274425997523,11.165778271802777,-0.06713268127117492,48.58291457286432,0.8442211055276382,199.0
0.005,0.022657265271451843,0.012626680727798044,0.04144072248047327,0.23509272099859327,-0.07584927775040233,0.41333101805416744,8.88646205735167,-0.06547611790692014,52.748717948717946,0.764102564102564,195.0
0.01,0.021931655611128423,0.013194828744296921,0.03266151394500624,0.19015366843829842,-0.03105957252212279,0.42291430553380455,8.552269987720267,-0.06497689810660305,52.884393063583815,0.7572254335260116,173.0
0.0125,0.02172809065914765,0.012826058197702644,0.04002108694905984,0.19398831610299822,-0.10053705737962951,0.4182831441642109,8.462006553691353,-0.06395269048783303,57.00574712643678,0.7701149425287356,174.0
0.003,0.02761548098750192,0.016774716365512178,0.03990014063834651,0.18754956649997076,-0.03525883942014534,0.41468053610872574,9.013493537335918,-0.06302606614256591,52.29281767955801,0.7900552486187845,181.0
0.025,0.03646001400311676,0.028262626977494733,0.047784574568451456,0.2131932828408707,-0.07531160278046614,0.4148189442762958,9.655163377005707,-0.09165190050700803,46.94444444444444,0.7888888888888889,90.0
0.035,0.031023727445561748,0.02170032324578599,0.04176497607398358,0.14518819098647062,-0.10580919173941766,0.4089003761327912,9.96031088658888,-0.0829586861037802,46.7979797979798,0.8383838383838383,99.0
0.05,0.03541047592930679,0.023323448593438316,0.04636128922063366,0.19355641539822482,-0.04296229482515046,0.40452001616933675,10.996565533412001,-0.07558006808535501,44.05263157894737,0.8070175438596491,114.0
0.04,0.03021916778760131,0.020321413148911414,0.042748146399700614,0.14592072140117843,-0.07805378790618424,0.40545082862895293,10.174382550662944,-0.08260832070270986,46.074766355140184,0.8037383177570093,107.0
0.03,0.045967330278312256,0.03539542439959771,0.04502164621916994,0.17649843259316822,-0.02947482832794135,0.4178460612362728,12.366900306646825,-0.08750506852041637,44.473214285714285,0.8482142857142857,112.0
