strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes,trades_file
1,btc_hl_breakout_4m,10,3,7,30.0,2630.3768330886787,5.305929254304276,38.870500620604034,-11.858241140071266,0.0,strategy_01_btc-hl-breakout-4m_trades.csv
2,btc_small_down_10m,25,5,20,20.0,2759.476484836846,2.1089525437979653,24.963511259382805,-2.7919143876337644,0.0,strategy_02_btc-small-down-10m_trades.csv
3,btc_hl_breakout_2m,25,19,6,76.0,2677.6011016355924,2.007858385971097,13.433330178858713,-10.560164396072768,0.0,strategy_03_btc-hl-breakout-2m_trades.csv
4,btc_vol_breakout_3m,35,29,6,82.85714285714286,2748.7217500166007,1.4552484896975675,13.433330178858718,-10.006940758584088,0.0,strategy_04_btc-vol-breakout-3m_trades.csv
5,btc_vol_breakout_2m,15,3,12,20.0,2272.6219875098923,3.1693208023060446,40.483415297687536,-11.858241140071259,0.0,strategy_05_btc-vol-breakout-2m_trades.csv
6,btc_hl_breakout_4m,18,6,12,33.33333333333333,2222.7271408664,3.0040624197908996,24.963511259382805,-11.010563780243105,0.0,strategy_06_btc-hl-breakout-4m_trades.csv
7,btc_alt_aligned,21,3,18,14.285714285714285,2299.8822522781584,2.202483099521519,31.543116490166412,-5.049719687359348,0.0,strategy_07_btc-alt-aligned_trades.csv
8,btc_hl_breakout_9m,18,4,14,22.22222222222222,2257.005421798661,2.5678291080079005,29.343730374712163,-5.498309778845766,0.0,strategy_08_btc-hl-breakout-9m_trades.csv
9,btc_small_up_10m,25,20,5,80.0,2263.4599719350117,2.127146963277212,12.73454032447684,-15.949647748810921,0.0,strategy_09_btc-small-up-10m_trades.csv
10,btc_vol_breakout_10m,11,4,7,36.36363636363637,2109.0645205197397,3.8962751320645226,28.017196726406286,-5.951563878811645,0.0,strategy_10_btc-vol-breakout-10m_trades.csv
