strategy_rank,pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,strategy_total_return,strategy_win_rate,trade_id,entry_timestamp,exit_timestamp,entry_price,exit_price,size,pnl,return_pct,duration_minutes,direction,status
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-07-01 14:28:00+00:00,2025-07-10 21:23:00+00:00,0.15864,0.19097,31517.90216843167,1018.973777105396,20.379475542107922,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-07-10 21:24:00+00:00,2025-07-18 01:13:00+00:00,0.19061,0.22905,28904.500753122593,1111.0890089500326,20.16683279995803,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-07-18 01:14:00+00:00,2025-07-21 14:20:00+00:00,0.22961,0.27892,26414.491498748805,1302.4985758033035,21.475545490178998,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-07-22 01:17:00+00:00,2025-07-23 20:34:00+00:00,0.26411,0.23503,25429.86134917029,-739.5003680338723,-11.010563780243086,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-07-23 20:35:00+00:00,2025-07-30 18:50:00+00:00,0.23444,0.21834,27071.02242327431,-435.843461014716,-6.8674287664221065,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-07-31 13:40:00+00:00,2025-08-01 00:50:00+00:00,0.21903,0.20438,27980.6819449622,-409.9169904936962,-6.688581472857598,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-08-01 00:51:00+00:00,2025-08-13 13:48:00+00:00,0.20398,0.24493,29040.348422189545,1189.2022678886624,20.075497597803714,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-08-13 13:49:00+00:00,2025-08-14 12:32:00+00:00,0.24569,0.23016,26530.38953601105,-412.0169494942511,-6.3209735845984705,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-08-14 12:33:00+00:00,2025-08-20 11:53:00+00:00,0.22825,0.2134,27654.952597395088,-410.6760460713176,-6.506024096385551,0.0,Long,Closed
8,btc_hl_breakout_7m,0,0.06,0.2,0.0,0.5,720,0.21479182248183598,0.5,,2025-08-20 13:45:00+00:00,2025-08-29 21:36:00+00:00,0.21055,0.21235,29004.53529954771,52.2081635391869,0.8549038233198932,0.0,Long,Open
