pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_small_down_10m,0,0.1,0.01,0.0,0.5,30,random,0.26722729796797384,26.722729796797385,0.8666666666666667,30,-0.08660957601358843,-8.660957601358843,38.23815889024247,2.096473855645068,3.472222222222222e-10,1.653776383279262,12672.27297967974,0.26722729796797384
btc_hl_breakout_1m,0,0.06,0.015,0.0,0.5,360,random,0.22267679879373672,22.267679879373674,0.8048780487804879,41,-0.11487265485027653,-11.487265485027653,29.367699491858428,1.6052533079049183,3.08130081300813e-10,1.0439987342470884,12226.767987937368,0.22267679879373672
btc_hl_breakout_2m,0,0.035,0.3,0.0,0.5,5,random,0.21691991773789931,21.69199177378993,0.3333333333333333,9,-0.16183420285608507,-16.183420285608506,26.385063316369383,1.9956221078196257,1.6055555555555555e-09,5.083169141349304,12169.199177378992,0.21691991773789931
btc_hl_breakout_5m,0,0.025,0.15,0.0,0.5,360,random,0.21646578375582684,21.646578375582685,0.35294117647058826,17,-0.1490912441150325,-14.90912441150325,27.375610715832412,1.730116620356189,8.30392156862745e-10,2.5813662017417727,12164.657837558269,0.21646578375582684
btc_hl_breakout_7m,0,0.0125,0.3,0.0,0.5,120,random,0.21418361711694925,21.418361711694924,0.2,15,-0.1674339796048656,-16.74339796048656,26.36974255482692,2.2280192517427095,9.444444444444444e-10,2.912257928398049,12141.836171169492,0.21418361711694925
btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,random,0.21321967977591866,21.321967977591864,0.21428571428571427,14,-0.16664036851608177,-16.664036851608177,26.27050286671224,2.218185198973846,1.0166666666666667e-09,3.1095771842407043,12132.196797759187,0.21321967977591866
btc_hl_breakout_9m,0,0.025,0.2,0.0,0.5,720,random,0.21196939891024377,21.19693989102438,0.3333333333333333,15,-0.1460396072315484,-14.603960723154842,26.91016176590278,1.7708209636129282,9.677777777777778e-10,2.8981328700554188,12119.693989102438,0.21196939891024377
btc_vol_breakout_2m,0,0.015,0.3,0.0,0.5,60,random,0.20942328483382272,20.942328483382273,0.2,15,-0.15907459066499352,-15.907459066499353,25.596818351010427,1.9096493614757517,9.355555555555556e-10,2.9735308949038055,12094.232848338226,0.20942328483382272
btc_small_up_9m,0,0.0075,0.25,0.0,0.5,360,random,0.20575952645862816,20.575952645862817,0.19047619047619047,21,-0.1252628193561376,-12.52628193561376,26.558432667151852,1.911017097444939,5.658730158730158e-10,2.0243044019376093,12057.595264586282,0.20575952645862816
btc_small_down_10m,0,0.005,0.15,0.0,0.5,90,random,0.20543134952061082,20.54313495206108,0.16666666666666666,30,-0.13305073382797672,-13.305073382797673,26.165004878885682,1.8720474776751104,4.4e-10,1.3847024532009093,12054.313495206108,0.20543134952061082
btc_hl_breakout_7m,0,0.025,0.15,0.0,0.5,360,random,0.2051639561181406,20.51639561181406,0.3333333333333333,18,-0.15699678837515751,-15.699678837515751,26.10428116445527,1.6695898098495479,8.009259259259259e-10,2.3308719808250404,12051.639561181406,0.2051639561181406
btc_hl_breakout_4m,0,0.08,0.15,0.0,0.5,360,random,0.20395082221233551,20.39508222123355,0.5454545454545454,11,-0.1615835012208049,-16.15835012208049,25.889555627887606,1.6785503179941026,1.3242424242424243e-09,3.8530790449619983,12039.508222123355,0.20395082221233551
btc_alt_aligned,0,0.05,0.25,0.0,0.5,120,random,0.19972764142122643,19.972764142122642,0.36363636363636365,11,-0.17014727983936684,-17.014727983936684,24.901706419904382,1.807481825148608,1.3378787878787877e-09,3.840661988540866,11997.276414212265,0.19972764142122643
btc_small_up_9m,0,0.01,0.25,0.0,0.5,480,random,0.1928549831466844,19.28549831466844,0.2,20,-0.12900196752745574,-12.900196752745574,25.175783459736415,1.8260143309985724,6.008333333333333e-10,2.012830123490772,11928.549831466844,0.1928549831466844
btc_vol_breakout_3m,0,0.08,0.03,0.0,0.5,90,random,0.19257158033691657,19.257158033691656,0.75,24,-0.1274132310790288,-12.741323107902879,26.041791053929163,1.5963393729031574,5.576388888888889e-10,1.5777652742389445,11925.715803369167,0.19257158033691657
btc_vol_breakout_10m,0,0.015,0.08,0.0,0.5,30,random,0.1839768493887387,18.39768493887387,0.3076923076923077,26,-0.10168260817737973,-10.168260817737973,29.448872738485434,1.6648527323982005,4.1153846153846156e-10,1.3969164433312162,11839.768493887386,0.1839768493887387
btc_vol_breakout_2m,0,0.08,0.12,0.0,0.4,480,random,0.18344756573887802,18.344756573887803,0.5,14,-0.12516557795823713,-12.516557795823713,29.07180627823204,1.6741786990481942,1.0154761904761906e-09,3.307719655311171,11834.47565738878,0.18344756573887802
btc_hl_breakout_3m,0,0.04,0.3,0.0,0.4,360,random,0.18329248592303574,18.329248592303575,0.375,8,-0.12368885528770268,-12.368885528770267,27.495924514953106,2.152906539087324,1.8125e-09,5.92383806263062,11832.924859230357,0.18329248592303574
btc_small_down_10m,0,0.04,0.3,0.0,0.4,10,random,0.18279942572153013,18.27994257215301,0.375,8,-0.12193931207631614,-12.193931207631614,27.22347670695644,2.1403634679967203,1.8041666666666667e-09,5.911793787434927,11827.994257215301,0.18279942572153013
btc_hl_breakout_1m,0,0.04,0.04,0.0,0.5,720,random,0.18069527977032404,18.069527977032404,0.5757575757575758,33,-0.14367560886502517,-14.367560886502517,26.322749995260907,1.4230574168303314,4.141414141414141e-10,1.0969025973436812,11806.952797703241,0.18069527977032404
btc_alt_aligned,0,0.04,0.12,0.0,0.5,5,random,0.17969738957882628,17.969738957882626,0.4,20,-0.15038417965949058,-15.038417965949058,23.297075345219834,1.4225762706431733,7.258333333333333e-10,1.9159839989001308,11796.973895788262,0.17969738957882628
btc_hl_breakout_9m,0,0.025,0.02,0.0,0.5,1440,random,0.17798991284298937,17.798991284298936,0.5686274509803921,51,-0.125187955274771,-12.5187955274771,24.452263047537226,1.3286172530058162,2.2875816993464051e-10,0.7024999593242568,11779.899128429894,0.17798991284298937
btc_alt_aligned,0,0.1,0.1,0.0,0.5,5,random,0.17628161689414745,17.628161689414746,0.6363636363636364,11,-0.16717142393050166,-16.717142393050167,23.0271745146269,1.6326860998907802,1.3333333333333333e-09,3.3091511137493512,11762.816168941474,0.17628161689414745
btc_hl_breakout_9m,0,0.08,0.15,0.0,0.5,90,random,0.17427202857791327,17.427202857791325,0.45454545454545453,11,-0.16339245793690693,-16.339245793690694,22.791035745347973,1.5419199821720702,1.3287878787878789e-09,3.3972605302758376,11742.720285779133,0.17427202857791327
btc_hl_breakout_6m,0,0.005,0.25,0.0,0.5,5,random,0.17328424151675637,17.328424151675637,0.13333333333333333,30,-0.1757391476530049,-17.57391476530049,22.90398207371357,1.6310885234537165,4.1777777777777775e-10,1.2461051445039253,11732.842415167564,0.17328424151675637
btc_small_up_10m,0,0.02,0.045,0.0,0.5,10,random,0.17134981573460464,17.134981573460465,0.43902439024390244,41,-0.121625063611153,-12.1625063611153,23.975832042135824,1.3671446606425304,2.4959349593495937e-10,0.8444227084616889,11713.498157346046,0.17134981573460464
btc_alt_aligned,0,0.06,0.15,0.0,0.5,60,random,0.17131125103903033,17.131125103903035,0.5,12,-0.1691845022616112,-16.91845022616112,22.309231421274127,1.5861733371711937,1.2236111111111112e-09,2.997845602857339,11713.112510390303,0.17131125103903033
btc_hl_breakout_5m,0,0.08,0.015,0.0,0.5,30,random,0.17073378293474006,17.073378293474008,0.8108108108108109,37,-0.14538379380927247,-14.538379380927246,23.469383494990975,1.4554479210608706,3.3423423423423423e-10,0.9285400543756168,11707.337829347402,0.17073378293474006
btc_hl_breakout_1m,0,0.035,0.3,0.0,0.4,90,random,0.1705809270872034,17.05809270872034,0.3333333333333333,9,-0.13348843445891523,-13.348843445891523,25.862244531209228,2.006461841386748,1.598148148148148e-09,4.956772201493339,11705.809270872034,0.1705809270872034
btc_vol_breakout_2m,0,0.06,0.25,0.0,0.4,1440,random,0.16863543703672268,16.863543703672267,0.4444444444444444,9,-0.12834946995023644,-12.834946995023644,25.812282847981148,1.829912013622203,1.6074074074074073e-09,4.930983495568477,11686.354370367226,0.16863543703672268
btc_hl_breakout_8m,0,0.035,0.02,0.0,0.5,60,random,0.16604849586837991,16.604849586837993,0.6511627906976745,43,-0.12968398412316073,-12.968398412316073,23.235217496141274,1.3521401798043957,2.7829457364341086e-10,0.7819783642943353,11660.484958683799,0.16604849586837991
btc_hl_breakout_9m,0,0.04,0.02,0.0,0.5,240,random,0.16583022940659858,16.58302294065986,0.6511627906976745,43,-0.1257876861699545,-12.57876861699545,22.947466254455684,1.3375241752636742,2.8333333333333334e-10,0.7820529446493052,11658.302294065987,0.16583022940659858
btc_alt_aligned,0,0.08,0.06,0.0,0.5,360,random,0.16510366662105924,16.510366662105923,0.625,16,-0.16830793250102805,-16.830793250102804,21.943312001799317,1.5405168583192974,9.125e-10,2.112632599778582,11651.036666210592,0.16510366662105924
btc_alt_aligned,0,0.08,0.12,0.0,0.5,45,random,0.16381505459471563,16.381505459471562,0.5,12,-0.16736046502416635,-16.736046502416634,21.681381881641347,1.4750949756691534,1.2236111111111112e-09,2.9521916351810935,11638.150545947155,0.16381505459471563
btc_hl_breakout_2m,0,0.06,0.02,0.0,0.4,1440,random,0.16379407648771377,16.379407648771377,0.7714285714285715,35,-0.09751580413194938,-9.751580413194938,27.50255356337313,1.5689928327113574,3.714285714285714e-10,1.1458574846470895,11637.940764877138,0.16379407648771377
btc_bullish,0,0.1,0.035,0.0,0.5,360,random,0.16228372702644484,16.228372702644485,0.76,25,-0.1541354397386615,-15.413543973866151,22.052098439513063,1.408000811594572,5.573333333333333e-10,1.3471535742808511,11622.837270264448,0.16228372702644484
