strategy_rank,pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,strategy_total_return,strategy_win_rate,trade_id,entry_timestamp,exit_timestamp,entry_price,exit_price,size,pnl,return_pct,duration_minutes,direction,status
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-01 14:40:00+00:00,2025-07-10 16:24:00+00:00,0.15914,0.18199,31418.876460977754,717.921327133342,14.35842654266684,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-10 16:25:00+00:00,2025-07-14 03:42:00+00:00,0.18226,0.20521,29402.834761147104,674.7950577683259,12.591901678920223,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-14 03:43:00+00:00,2025-07-15 01:22:00+00:00,0.20581,0.19297,27677.752259126548,-355.3823390071848,-6.238763908459257,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-15 02:00:00+00:00,2025-07-17 21:22:00+00:00,0.19365,0.21697,28498.151422397328,664.5768911703062,12.042344435837862,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-17 22:52:00+00:00,2025-07-18 14:17:00+00:00,0.21928,0.24715,26682.576926908037,743.6434189529273,12.709777453484133,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-18 14:19:00+00:00,2025-07-21 14:20:00+00:00,0.24612,0.27892,25283.508768116604,829.2990875942241,13.326832439460418,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-22 01:17:00+00:00,2025-07-23 20:34:00+00:00,0.26411,0.23503,25131.296512081975,-730.8181025713438,-11.01056378024308,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-23 20:35:00+00:00,2025-07-29 00:40:00+00:00,0.23444,0.22401,26753.189176421678,-279.03576311007873,-4.4488995052039,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-07-29 20:20:00+00:00,2025-08-01 00:24:00+00:00,0.22236,0.20956,27579.1499773577,-353.0131197101791,-5.75643101277209,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-01 00:50:00+00:00,2025-08-02 17:52:00+00:00,0.20438,0.19184,29141.761567228536,-365.437690053046,-6.1356297093649115,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-02 19:26:00+00:00,2025-08-10 03:09:00+00:00,0.19356,0.23973,29826.794710082897,1377.103111764527,23.853068815871044,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-11 01:34:00+00:00,2025-08-12 13:50:00+00:00,0.23641,0.22316,27333.132862255865,-362.16401042488997,-5.604669853221095,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-13 13:42:00+00:00,2025-08-14 12:31:00+00:00,0.24263,0.23228,25886.097905260947,-267.92111331945125,-4.265754440918277,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-14 12:33:00+00:00,2025-08-20 11:53:00+00:00,0.22825,0.2134,26930.047658680123,-399.9112077313994,-6.506024096385535,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-20 13:52:00+00:00,2025-08-24 19:34:00+00:00,0.2098,0.23748,28345.222946749473,784.5957711660258,13.19351763584367,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-24 19:36:00+00:00,2025-08-25 08:15:00+00:00,0.23376,0.22121,27118.094027254672,-340.3320800420461,-5.3687542778918536,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-25 13:50:00+00:00,2025-08-25 21:31:00+00:00,0.21926,0.20589,28135.36267349279,-376.1697989445993,-6.09778345343429,0.0,Long,Closed
8,btc_vol_breakout_2m,0,0.06,0.12,0.04,0.5,480,0.17649843259316822,0.4444444444444444,,2025-08-26 07:35:00+00:00,2025-08-29 21:36:00+00:00,0.2119,0.21235,28224.98688210349,12.701244096946539,0.2123643227937701,0.0,Long,Open
