parameter_name,parameter_value,avg_return,avg_sharpe,avg_win_rate,avg_trades,count
pattern,btc_vol_breakout_2m,0.030976435603712715,9.539657325651785,0.4376968233838183,50.6,90
pattern,btc_vol_breakout_10m,0.020124931000051756,8.299647347145745,0.4395909751197082,36.54117647058823,85
pattern,btc_small_down_10m,0.03247705883487715,12.512144916006832,0.44397600404188603,48.26271186440678,118
pattern,btc_alt_aligned,0.04141499072337457,12.275393790426381,0.44023436418432543,62.8,115
pattern,btc_hl_breakout_3m,0.02530095268544783,9.91507138899663,0.42719960309143484,49.06521739130435,92
pattern,btc_vol_breakout_3m,0.019469759334304795,7.550380719513401,0.42171740250712236,47.979166666666664,96
pattern,btc_bullish,0.0403516548023178,13.842474915195233,0.40941171344303734,68.225,120
pattern,btc_hl_breakout_4m,0.028740007915839427,10.866907592499741,0.4107638083094988,55.58426966292135,89
pattern,btc_hl_breakout_9m,0.034879341491244636,11.07619340833886,0.4024186124085201,55.06363636363636,110
pattern,btc_hl_breakout_6m,-0.0010200368852034767,-0.11490373189652196,0.3930509863963204,58.27710843373494,83
pattern,btc_hl_breakout_5m,0.02175596909909064,6.260829444716111,0.43300837659208086,55.791666666666664,96
pattern,btc_vol_breakout_8m,0.023841299157294115,10.560537868950597,0.41752691076259435,41.38235294117647,102
pattern,btc_hl_breakout_10m,0.03223898133316076,11.321282432485177,0.4058398749887218,51.71739130434783,92
pattern,btc_hl_breakout_2m,0.035254176555682054,10.763470603150079,0.43388094752659406,51.58474576271186,118
pattern,btc_small_up_9m,0.028552931297793484,11.88381664272416,0.4349414783858683,42.54736842105263,95
pattern,btc_hl_breakout_7m,0.03271945633269651,10.366340770692522,0.4016272925389794,54.366336633663366,101
pattern,btc_hl_breakout_8m,0.024999757455733733,9.843912190517624,0.3965528054085433,55.258426966292134,89
pattern,btc_hl_breakout_1m,0.016715276232481015,6.050183951353477,0.4094407803362011,55.10891089108911,101
pattern,btc_small_up_10m,0.04739761117679325,14.884580780105338,0.422528868585022,44.15625,96
pattern,btc_vol_breakout_9m,0.024865010596468538,9.86502745842461,0.4058624011824278,39.5945945945946,111
lag,0,0.02867903448246183,10.056628958175807,0.4196967223727082,51.42471235617809,1999
stop_loss,0.0075,0.00748192560537232,3.908043079069856,0.3425782325354912,79.09150326797386,153
stop_loss,0.035,0.05891697096985681,20.433265328376972,0.49659140682056635,35.641891891891895,148
stop_loss,0.02,-0.003374865482586609,-1.0627101457373955,0.35802288507730345,50.670731707317074,164
stop_loss,0.01,0.020973409573786548,8.937236789510836,0.3488203029770703,68.90285714285714,175
stop_loss,0.0175,-0.004757591842605607,-0.5020501256637501,0.3741836299305903,56.64556962025316,158
stop_loss,0.015,0.01781162558495736,7.69622094290912,0.39301411206943493,57.48275862068966,145
stop_loss,0.03,0.036421507428183876,14.918530016901787,0.4515703136394348,39.375,168
stop_loss,0.0125,0.034392441363888235,12.981172029713818,0.3932028427091069,61.26011560693642,173
stop_loss,0.025,0.035682600960105074,13.991233220558478,0.4167020915498238,44.0,148
stop_loss,0.005,-0.0052510571546532155,-2.08477164561402,0.3223263994733302,88.49019607843137,153
stop_loss,0.04,0.06713547441674197,20.057052913393033,0.4625208836509496,31.507042253521128,71
stop_loss,0.06,0.06748601367098174,18.482694133820893,0.545599166174644,26.34375,96
stop_loss,0.08,0.07177661270278578,21.129164648862602,0.5990858309022268,21.658536585365855,82
stop_loss,0.05,0.048365180840885244,14.563628197360787,0.48720923515419834,28.674698795180724,83
stop_loss,0.1,0.05884758079974204,17.210207834590932,0.5797649242712822,19.304878048780488,82
