strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes
1,btc_bullish,32,20,12,62.5,2379.8730780622354,1.4411163202969952,16.87304992199688,-10.393076365854597,0.0
2,btc_vol_breakout_2m,15,7,8,46.666666666666664,2089.3438792751494,3.4247221202287617,24.96351125938281,-11.010563780243087,0.0
3,btc_small_down_10m,26,21,5,80.76923076923077,2257.9780256400654,1.656829540027376,12.739841986455987,-10.926248768286207,0.0
4,btc_hl_breakout_2m,44,28,16,63.63636363636363,2465.599160970396,1.0475905101636047,13.433330178858698,-5.498309778845766,0.0
5,btc_bullish,23,9,14,39.130434782608695,2198.127511101976,1.9073560572541073,23.853068815871055,-9.558625466579432,0.0
6,btc_hl_breakout_2m,15,7,8,46.666666666666664,2070.961274731112,2.8494464959310624,27.81857674803476,-10.382826203004653,0.0
7,btc_hl_breakout_9m,22,8,14,36.36363636363637,2127.381252352784,1.9914958061738792,31.543116490166412,-10.573776729320452,0.0
8,btc_hl_breakout_9m,22,8,14,36.36363636363637,2127.381252352784,1.9914958061738792,31.543116490166412,-10.573776729320452,0.0
9,btc_vol_breakout_8m,25,9,16,36.0,2099.0356501872584,1.6386261881656825,14.516726902048005,-5.105906664370575,0.0
10,btc_small_up_10m,30,14,16,46.666666666666664,2074.1452696760925,1.6657416112640064,16.719411850625633,-10.519302520368537,0.0
