,avg_return,median_return,std_return,best_return,worst_return,avg_win_rate,avg_sharpe,avg_drawdown,avg_trades,profit_probability,sample_size
0.0075,0.030997526186104744,0.02027264076722524,0.04212352772799358,0.18675324566572135,-0.06985077019799368,0.43817222250386917,10.712244684013848,-0.06804108940573252,52.53225806451613,0.8279569892473119,186.0
0.005,0.02662485524712934,0.015964785213838945,0.03940920516782463,0.19470926985936649,-0.0724957891904991,0.42427047635692805,9.846032128043035,-0.06308512657514642,54.82795698924731,0.7956989247311828,186.0
0.003,0.026435434223765507,0.017587729804995893,0.040022338314925375,0.1932695593009883,-0.11311468745462339,0.42433750623911665,9.0148103938018,-0.07056536890046061,53.50267379679144,0.7967914438502673,187.0
0.0125,0.021813755838374548,0.015061015816826114,0.03347958224406952,0.1556563317789647,-0.04766584801158965,0.4050002548031686,8.890190257586141,-0.06455006904299443,54.18032786885246,0.7868852459016393,183.0
0.0175,0.026181888290330087,0.018173238940501612,0.03927577023464838,0.19474650306418745,-0.12507505287487602,0.4259574049455892,9.095912368598398,-0.06470197797045928,52.52040816326531,0.8163265306122449,196.0
0.015,0.02896968249370709,0.018185502794906733,0.03902301453794537,0.17072263454115222,-0.05232823108914149,0.413407124775237,10.500092293933854,-0.06158154297118188,52.00558659217877,0.8547486033519553,179.0
0.01,0.026967349808407592,0.02000531868337023,0.03431090782507038,0.1509660585375922,-0.07584927775040233,0.4237667447480641,10.615050053588236,-0.06232482984694308,52.94972067039106,0.8491620111731844,179.0
0.02,0.0276323225326089,0.017832922523192248,0.03514393901763262,0.15616835936784382,-0.06055881175017712,0.40511821339850906,10.076142610799293,-0.07229382256839054,53.787709497206706,0.8044692737430168,179.0
0.04,0.03811360783597923,0.03207345753139568,0.04136005057454043,0.19937031001883807,-0.04436254871619253,0.43145627215703947,12.882546583020705,-0.07491809497528436,43.177083333333336,0.8541666666666666,96.0
0.03,0.03892268881919196,0.027441278425663622,0.052896702131934724,0.1895397749911779,-0.09467560860507765,0.42059744909694935,11.27389281281473,-0.0876184803466146,48.154545454545456,0.8363636363636363,110.0
0.035,0.028496308272332977,0.02390556887337135,0.044928646501207016,0.1620255030946554,-0.1156755141710677,0.40069879963651506,9.360591734346809,-0.08443920486798691,47.35398230088496,0.7610619469026548,113.0
0.025,0.028901704433321025,0.018071232090873388,0.0430970371037992,0.18042467080506022,-0.09113346819999787,0.42273634484760614,10.047295135398613,-0.07555937760831234,44.86,0.76,100.0
0.05,0.0336672709028752,0.024339794176292753,0.040544739885342344,0.1924699779692566,-0.04829923262557677,0.41902086814737455,10.10780520843989,-0.07595455242555822,46.86666666666667,0.8,105.0
