strategy_rank,pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,strategy_total_return,strategy_win_rate,trade_id,entry_timestamp,exit_timestamp,entry_price,exit_price,size,pnl,return_pct,duration_minutes,direction,status
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-01 14:28:00+00:00,2025-07-14 05:23:00+00:00,0.15864,0.20868,31517.90216843167,1577.1558245083206,31.543116490166412,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-14 14:27:00+00:00,2025-07-15 01:22:00+00:00,0.20353,0.19297,28440.907543134483,-300.33598365549915,-5.18842431091238,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-15 01:58:00+00:00,2025-07-20 22:08:00+00:00,0.19336,0.26852,29160.16715156398,2191.678163111548,38.87050062060404,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-20 22:12:00+00:00,2025-07-22 14:02:00+00:00,0.26828,0.26094,25101.569263389687,-184.2455183932807,-2.735947517519016,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-22 14:03:00+00:00,2025-07-23 20:34:00+00:00,0.26048,0.23503,25499.56327850716,-648.9638854380073,-9.770423832923834,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-23 20:35:00+00:00,2025-07-24 07:12:00+00:00,0.23444,0.22843,26947.808821304137,-161.95633101603835,-2.563555707217206,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-25 03:04:00+00:00,2025-07-30 18:50:00+00:00,0.22495,0.21834,27724.67719296965,-183.2601162455294,-2.9384307623916426,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-30 18:51:00+00:00,2025-07-30 19:04:00+00:00,0.2184,0.21265,28136.612071592303,-161.7855194116555,-2.6327838827838788,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-07-30 19:05:00+00:00,2025-08-01 00:50:00+00:00,0.21087,0.20438,28757.733754113582,-186.63769206419693,-3.077725612936877,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-08-01 00:51:00+00:00,2025-08-01 22:27:00+00:00,0.20398,0.19836,29271.617171770926,-164.50648850535163,-2.7551720756936793,0.0,Long,Closed
1,btc_small_down_10m,0,0.025,0.3,0.0,0.5,60,0.2275194175370496,0.2727272727272727,,2025-08-02 17:52:00+00:00,2025-08-29 21:36:00+00:00,0.19184,0.21235,30695.221155364667,629.5589858965295,10.691201000834031,0.0,Long,Open
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-07-01 14:40:00+00:00,2025-07-14 05:23:00+00:00,0.15914,0.20868,31418.876460977754,1556.4911398768381,31.12982279753676,0.0,Long,Closed
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-07-14 05:25:00+00:00,2025-07-14 16:29:00+00:00,0.20991,0.20055,27527.252488868653,-257.655083295811,-4.459053880234393,0.0,Long,Closed
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-07-15 02:00:00+00:00,2025-07-20 22:08:00+00:00,0.19365,0.26852,29173.34380733547,2184.2082508552066,38.662535502194686,0.0,Long,Closed
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-07-20 22:10:00+00:00,2025-07-23 20:34:00+00:00,0.26932,0.23503,25031.643226340846,-858.3350462312283,-12.732065943858617,0.0,Long,Closed
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-07-23 20:35:00+00:00,2025-07-25 03:04:00+00:00,0.23444,0.22495,26925.245822395933,-255.52058285453768,-4.047944036853783,0.0,Long,Closed
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-07-25 03:05:00+00:00,2025-07-30 19:03:00+00:00,0.22522,0.21493,27460.235943411924,-282.5658278577084,-4.568865997691142,0.0,Long,Closed
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-07-30 19:07:00+00:00,2025-08-01 22:27:00+00:00,0.21075,0.19836,28675.261804253285,-355.2864937546974,-5.879003558718848,0.0,Long,Closed
2,btc_vol_breakout_2m,0,0.04,0.3,0.0,0.5,10,0.22642275293651656,0.375,,2025-08-02 17:52:00+00:00,2025-08-29 21:36:00+00:00,0.19184,0.21235,30575.834958137148,627.1103749913927,10.691201000834024,0.0,Long,Open
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-02 16:05:00+00:00,2025-07-10 17:09:00+00:00,0.16778,0.1849,29800.929789009413,510.1919179878405,10.20383835975681,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-10 21:17:00+00:00,2025-07-14 05:23:00+00:00,0.18901,0.20868,27803.26945131961,546.8903101074566,10.406856780064542,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-14 05:24:00+00:00,2025-07-14 14:27:00+00:00,0.20921,0.20353,26425.797591165086,-150.0985303178186,-2.7149753835858865,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-15 04:15:00+00:00,2025-07-17 01:38:00+00:00,0.1906,0.21213,28612.23425440052,616.0214034972432,11.295907660020987,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-17 21:18:00+00:00,2025-07-18 14:17:00+00:00,0.21582,0.24715,26695.869477515338,836.3815907305552,14.516726902047997,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-20 22:08:00+00:00,2025-07-22 14:02:00+00:00,0.26852,0.26094,23013.90341874958,-174.44538791412197,-2.822880977208404,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-24 07:11:00+00:00,2025-07-25 03:33:00+00:00,0.22859,0.22268,26652.393595719746,-157.51564615070401,-2.585414935036533,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-25 07:15:00+00:00,2025-07-29 16:46:00+00:00,0.22878,0.2207,26286.00764476888,-212.39094176973322,-3.5317772532564145,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-07-31 13:40:00+00:00,2025-08-01 00:24:00+00:00,0.21903,0.20956,26971.270410835772,-255.41793079061426,-4.323608638086099,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-01 00:51:00+00:00,2025-08-01 22:27:00+00:00,0.20398,0.19836,28335.1720398571,-159.24366686399662,-2.7551720756936904,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-02 17:52:00+00:00,2025-08-07 16:44:00+00:00,0.19184,0.21259,29713.232690044064,616.5495783184142,10.816305254378648,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-07 16:46:00+00:00,2025-08-10 03:09:00+00:00,0.21134,0.23973,28430.308263543393,807.1364516019967,13.433330178858707,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-11 02:00:00+00:00,2025-08-11 12:44:00+00:00,0.23702,0.22704,27052.694178627367,-269.9858879027015,-4.210615137963047,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-12 12:30:00+00:00,2025-08-19 00:31:00+00:00,0.22567,0.2197,27815.113352536482,-166.05622671464243,-2.64545575397704,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-19 00:35:00+00:00,2025-08-20 11:53:00+00:00,0.22247000000000003,0.2134,27841.994502223162,-252.52689013516465,-4.076954196071389,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-20 13:45:00+00:00,2025-08-22 15:06:00+00:00,0.21055,0.23177,28818.547004711494,611.5295674399777,10.078366183804317,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-24 19:34:00+00:00,2025-08-24 20:07:00+00:00,0.23748,0.23126,26838.091020557495,-166.93292614786697,-2.6191679299309314,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-25 13:49:00+00:00,2025-08-25 19:57:00+00:00,0.21959,0.21349,28644.48924125898,-174.73138437168018,-2.777904276151015,0.0,Long,Closed
3,btc_vol_breakout_9m,0,0.025,0.1,0.0,0.5,720,0.21593181162818856,0.3684210526315789,,2025-08-26 12:35:00+00:00,2025-08-29 21:36:00+00:00,0.21292,0.21235,29131.49398977184,-16.604951574169718,-0.2677061807251513,0.0,Long,Open
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-01 14:28:00+00:00,2025-07-14 05:23:00+00:00,0.15864,0.20868,31517.90216843167,1577.1558245083206,31.543116490166412,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-14 05:24:00+00:00,2025-07-14 13:43:00+00:00,0.20921,0.20505,27668.74390446996,-115.10197464259545,-1.988432675302335,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-14 13:45:00+00:00,2025-07-14 14:38:00+00:00,0.20572,0.2016,27858.38481884534,-114.77654545364203,-2.0027221466070255,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-15 01:22:00+00:00,2025-07-15 03:10:00+00:00,0.19297,0.18983,29401.661668684468,-92.32121763966916,-1.6271959371923086,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-15 04:10:00+00:00,2025-07-18 14:17:00+00:00,0.18902,0.24715,29771.865640599975,1730.6385496880775,30.75335943286427,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-18 14:18:00+00:00,2025-07-18 20:49:00+00:00,0.24553,0.23203,26444.008138436224,-356.9941098688887,-5.498309778845758,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-18 20:51:00+00:00,2025-07-24 07:11:00+00:00,0.23235,0.22859,27175.813485241237,-102.18105870450745,-1.6182483322573766,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-24 07:12:00+00:00,2025-07-25 03:04:00+00:00,0.22843,0.22495,27418.50778769666,-95.41640710118372,-1.5234426301273811,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-25 07:15:00+00:00,2025-07-29 00:40:00+00:00,0.22878,0.22401,27168.028369581938,-129.59149532290667,-2.0849724626278654,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-29 14:08:00+00:00,2025-07-29 16:46:00+00:00,0.22409,0.2207,27447.4799532844,-93.04695704163441,-1.5127850417243118,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-29 16:47:00+00:00,2025-07-30 18:56:00+00:00,0.22096,0.21702,27625.734541141766,-108.8453940920981,-1.7831281679941995,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-07-31 13:40:00+00:00,2025-08-01 00:24:00+00:00,0.21903,0.20956,27620.689435988836,-261.56792895881426,-4.323608638086107,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-08-01 00:51:00+00:00,2025-08-01 22:27:00+00:00,0.20398,0.19836,29017.431329959934,-163.0779640743749,-2.7551720756936966,0.0,Long,Closed
4,btc_hl_breakout_7m,0,0.015,0.3,0.0,0.5,360,0.21321967977591866,0.21428571428571427,,2025-08-02 17:52:00+00:00,2025-08-29 21:36:00+00:00,0.19184,0.21235,30428.673168515634,624.0920866862552,10.69120100083402,0.0,Long,Open
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-07-01 14:28:00+00:00,2025-07-14 05:23:00+00:00,0.15864,0.20868,31517.90216843167,1577.1558245083206,31.543116490166412,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-07-14 05:24:00+00:00,2025-07-14 14:38:00+00:00,0.20921,0.2016,27668.74390446996,-210.55914111301627,-3.6374934276564193,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-07-15 01:59:00+00:00,2025-07-20 22:08:00+00:00,0.19331,0.26852,29399.91899900498,2211.1679079151636,38.90641974031347,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-07-20 22:10:00+00:00,2025-07-22 14:04:00+00:00,0.26932,0.25987,25207.494042979484,-238.21081870615672,-3.5088370711421444,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-07-22 18:53:00+00:00,2025-07-23 20:34:00+00:00,0.26665,0.23503,25013.22665029873,-790.9182266824464,-11.858241140071263,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-07-24 07:11:00+00:00,2025-07-30 18:50:00+00:00,0.22859,0.21834,27447.91011400732,-281.3410786685745,-4.484010674132718,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-07-31 13:40:00+00:00,2025-08-01 00:24:00+00:00,0.21903,0.20956,28003.685493433073,-265.1949016228118,-4.3236086380861165,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-08-01 00:50:00+00:00,2025-08-02 17:52:00+00:00,0.20438,0.19184,29362.21637545376,-368.2021933481901,-6.135629709364907,0.0,Long,Closed
5,btc_hl_breakout_3m,0,0.035,0.3,0.0,0.5,480,0.2127449941091103,0.3333333333333333,,2025-08-03 00:43:00+00:00,2025-08-29 21:36:00+00:00,0.19253,0.21235,30213.206700987612,598.825756813575,10.29449955851037,0.0,Long,Open
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-01 14:28:00+00:00,2025-07-10 16:26:00+00:00,0.15864,0.18267,31517.90216843167,757.3751891074126,15.14750378214825,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-11 00:19:00+00:00,2025-07-15 03:10:00+00:00,0.19277,0.18983,27902.098846053363,-82.03217060739735,-1.5251335788763898,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-15 04:10:00+00:00,2025-07-17 22:51:00+00:00,0.18902,0.21946,28238.659979102784,859.5848097638882,16.104115966564375,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-17 22:53:00+00:00,2025-07-20 22:08:00+00:00,0.218,0.26852,26456.256486843817,1336.5700777153488,23.17431192660549,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-20 22:12:00+00:00,2025-07-20 22:16:00+00:00,0.26828,0.26449,23988.92557398847,-90.91802792541694,-1.4127031459669102,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-20 22:17:00+00:00,2025-07-22 14:02:00+00:00,0.2646,0.26094,24150.755627463786,-88.39176559651696,-1.3832199546485184,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-22 14:03:00+00:00,2025-07-23 20:34:00+00:00,0.26048,0.23503,24363.076075816414,-620.0402861295279,-9.770423832923836,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-23 20:35:00+00:00,2025-07-24 07:11:00+00:00,0.23444,0.22859,25746.774923920388,-150.61863330493452,-2.4953079679235666,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-25 03:04:00+00:00,2025-07-29 16:46:00+00:00,0.22495,0.2207,26498.17557906836,-112.61724621104077,-1.8893087352745093,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-30 18:51:00+00:00,2025-07-30 19:03:00+00:00,0.2184,0.21493,27035.054823287122,-93.81164023680594,-1.5888278388278325,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-07-30 19:04:00+00:00,2025-08-01 00:24:00+00:00,0.21265,0.20956,27545.498016870464,-85.11558887212959,-1.4530919351046296,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-08-01 00:50:00+00:00,2025-08-01 22:27:00+00:00,0.20438,0.19836,28451.865930381835,-171.28023290089823,-2.9454936882278036,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-08-02 17:52:00+00:00,2025-08-10 03:09:00+00:00,0.19184,0.23973,29865.263982490564,1430.2474921214734,24.963511259382827,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-08-10 21:04:00+00:00,2025-08-11 12:44:00+00:00,0.23164,0.22704,27821.084391563316,-127.9769882011924,-1.9858400967017964,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-08-11 14:48:00+00:00,2025-08-12 13:43:00+00:00,0.22831,0.22524,27946.596707814508,-85.79605189299036,-1.3446629582585055,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-08-12 13:44:00+00:00,2025-08-14 12:34:00+00:00,0.22459,0.22042,28218.48465387878,-117.67108100667429,-1.8567166837348021,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-08-14 12:40:00+00:00,2025-08-14 13:04:00+00:00,0.22705,0.22238,27653.617828281425,-129.14239525807443,-2.056815679365781,0.0,Long,Closed
6,btc_small_down_10m,0,0.0125,0.15,0.0,0.5,30,0.2104015017706166,0.25,,2025-08-14 13:23:00+00:00,2025-08-19 00:31:00+00:00,0.22433,0.2197,27701.077565560827,-128.2559891285464,-2.0639236838585973,0.0,Long,Closed
