,avg_return,median_return,std_return,best_return,worst_return,avg_win_rate,avg_sharpe,avg_drawdown,avg_trades,profit_probability,sample_size
0.02,0.024105933837760204,0.01588699751215534,0.03593781103589337,0.16661213320555607,-0.12504546991549778,0.43208399160779587,9.811035640864475,-0.06295548389136595,51.396907216494846,0.7989690721649485,194.0
0.005,0.022059265565761665,0.014069009965255612,0.03536546828717479,0.15242347498070577,-0.06533427609907712,0.39725242528886234,8.734820171403289,-0.06703925906361179,53.91279069767442,0.7790697674418605,172.0
0.0075,0.025682613462474295,0.01773424090752962,0.03501795212180461,0.14562735742843388,-0.05570227556772952,0.41180532723347923,9.658930598988523,-0.06335322265785494,52.133663366336634,0.806930693069307,202.0
0.0175,0.02351989979129959,0.015211537335338528,0.03254785132584225,0.16109295895858095,-0.047645221998761644,0.42904869534497225,10.015728709170682,-0.0568349020950371,54.40229885057471,0.8563218390804598,174.0
0.003,0.02791254051957132,0.017758757360798676,0.040908264956446214,0.14749325083265666,-0.07707160346419233,0.43496556883368004,9.500926658572965,-0.06557366985647466,50.26519337016575,0.7900552486187845,181.0
0.0125,0.02550138970306066,0.01718467646221451,0.036742371355046106,0.170268176068921,-0.07211732011977579,0.4144235175229303,9.932764589980806,-0.06790303647423714,49.510989010989015,0.8241758241758241,182.0
0.015,0.022660042056692403,0.014154611350109644,0.03645543145607303,0.1948102296326667,-0.10963686359965977,0.4166442394136932,9.015455575662687,-0.06446414284239002,53.4331550802139,0.7914438502673797,187.0
0.01,0.028156624058318033,0.0202818815168941,0.04443853788505514,0.20564832768491187,-0.1080161403019376,0.43247782679161095,9.43781282071684,-0.06869679785994368,52.75647668393783,0.7823834196891192,193.0
0.05,0.0319464911424964,0.024753647583089157,0.043045548042711164,0.17312314628046266,-0.049351373952179756,0.3975719878707493,9.84542916282308,-0.07633206858828413,48.42391304347826,0.782608695652174,92.0
0.04,0.040612378638413674,0.0277964431548535,0.04626860995868716,0.17649843259316822,-0.038227637582690384,0.40226891662140796,11.92170357004396,-0.08098500789831094,42.98019801980198,0.8514851485148515,101.0
0.035,0.02881655347615369,0.02058259393545356,0.04654784536821711,0.18319401999435195,-0.11397295629348964,0.43003514784039937,9.971809096852457,-0.0764695641012854,44.58490566037736,0.7830188679245284,106.0
0.03,0.0347941564913375,0.02565662344162225,0.04683374569076489,0.23568190133770467,-0.05442298345515783,0.42285157906628695,9.852744697605234,-0.07468857340466026,49.48275862068966,0.7844827586206896,116.0
0.025,0.03285387863994436,0.026062796191580785,0.04512843515463609,0.20315106904395197,-0.048481202118110446,0.4479254624869592,10.359042997321612,-0.07531585273478364,45.07,0.8,100.0
