strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes,trades_file
1,btc_hl_breakout_9m,24,9,15,37.5,2653.1324326826843,2.215943248287686,27.81857674803475,-10.573776729320446,0.0,strategy_01_btc-hl-breakout-9m_trades.csv
2,btc_small_down_10m,29,24,5,82.75862068965517,2407.498451050251,1.577099965390262,12.739841986455975,-12.035476718403546,0.0,strategy_02_btc-small-down-10m_trades.csv
3,btc_small_up_10m,33,16,17,48.484848484848484,2431.26417751635,1.415822530242487,16.873049921996884,-10.519302520368544,0.0,strategy_03_btc-small-up-10m_trades.csv
4,btc_hl_breakout_5m,16,9,7,56.25,2136.8640636882265,2.6659535334687696,16.536212749905697,-11.010563780243086,0.0,strategy_04_btc-hl-breakout-5m_trades.csv
5,btc_hl_breakout_1m,14,7,7,50.0,2023.423738649847,3.5557710609184654,24.963511259382816,-11.010563780243084,0.0,strategy_05_btc-hl-breakout-1m_trades.csv
6,btc_hl_breakout_4m,14,7,7,50.0,1994.682326571682,2.835379995263988,14.18341418341418,-11.010563780243082,0.0,strategy_06_btc-hl-breakout-4m_trades.csv
7,btc_small_up_10m,33,17,16,51.515151515151516,2113.9456625070434,1.527638092591659,16.873049921996884,-10.519302520368548,0.0,strategy_07_btc-small-up-10m_trades.csv
8,btc_vol_breakout_2m,18,8,10,44.44444444444444,1974.4506847324064,2.2697199603879814,23.853068815871044,-11.01056378024308,0.0,strategy_08_btc-vol-breakout-2m_trades.csv
9,btc_hl_breakout_7m,26,9,17,34.61538461538461,2049.226479041942,1.617997099989228,24.963511259382813,-10.573776729320453,0.0,strategy_09_btc-hl-breakout-7m_trades.csv
10,btc_bullish,27,15,12,55.55555555555556,2048.426907810668,1.4983844648574847,16.873049921996884,-10.39307636585461,0.0,strategy_10_btc-bullish_trades.csv
