pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,source,total_return,total_return_pct,win_rate,total_trades,max_drawdown,max_drawdown_pct,sharpe_ratio,profit_factor,avg_trade_duration_minutes,avg_trade_return_pct,final_value,risk_adjusted_return
btc_small_down_10m,0,0.035,0.01,0.0,0.25,15,high_frequency,0.1114997301793951,11.14997301793951,0.7209302325581395,43,-0.03424395146327763,-3.4243951463277633,38.544744413528356,1.8324734957613773,2.1124031007751936e-10,1.0035677387347233,11114.997301793952,0.1114997301793951
btc_small_down_10m,0,0.035,0.01,0.0,0.25,90,high_frequency,0.1114997301793951,11.14997301793951,0.7209302325581395,43,-0.03424395146327763,-3.4243951463277633,38.544744413528356,1.8324734957613773,2.1124031007751936e-10,1.0035677387347233,11114.997301793952,0.1114997301793951
btc_small_up_10m,0,0.02,0.045,0.0,0.25,90,high_frequency,0.08626369680566837,8.626369680566837,0.43902439024390244,41,-0.062184217461695,-6.218421746169501,23.930435627827674,1.4045164162352521,2.4959349593495937e-10,0.8444227084616899,10862.636968056684,0.08626369680566837
btc_small_up_10m,0,0.035,0.06,0.0,0.25,20,high_frequency,0.08071938118286785,8.071938118286786,0.44,25,-0.08638500720015485,-8.638500720015486,21.64435616801088,1.4398754905164217,5.066666666666667e-10,1.3166505885246436,10807.193811828678,0.08071938118286785
btc_small_up_10m,0,0.035,0.035,0.0,0.25,10,high_frequency,0.0804896800929686,8.04896800929686,0.5428571428571428,35,-0.07641120051074624,-7.6411200510746236,22.07552786688601,1.3976313571612866,3.352380952380952e-10,0.9280087631733434,10804.896800929686,0.0804896800929686
btc_bullish,0,0.035,0.045,0.0,0.25,30,high_frequency,0.07877042954255312,7.8770429542553115,0.5151515151515151,33,-0.08591151094032523,-8.591151094032522,20.939997927375877,1.3724367580851207,4.171717171717172e-10,0.9722600382009761,10787.70429542553,0.07877042954255312
btc_small_up_9m,0,0.035,0.05,0.0,0.25,10,high_frequency,0.07648040007431023,7.648040007431023,0.5384615384615384,26,-0.06547303292378948,-6.547303292378947,23.33894844066387,1.4909977332764104,4.4294871794871796e-10,1.1849227889589837,10764.804000743103,0.07648040007431023
btc_hl_breakout_4m,0,0.025,0.03,0.0,0.25,30,high_frequency,0.07579169613662612,7.579169613662612,0.5555555555555556,45,-0.050793482599774675,-5.0793482599774675,22.482533202412313,1.3305134060892034,2.9e-10,0.6803424502357258,10757.916961366262,0.07579169613662612
btc_vol_breakout_3m,0,0.035,0.015,0.0,0.2,45,high_frequency,0.07373822046479782,7.3738220464797815,0.717391304347826,46,-0.03899366363109891,-3.8993663631098907,30.9667185272197,1.5846038584968107,2.1956521739130435e-10,0.7899067362632191,10737.382204647978,0.07373822046479782
btc_bullish,0,0.02,0.06,0.0,0.25,90,high_frequency,0.07195309268245564,7.195309268245564,0.35135135135135137,37,-0.0683846348959094,-6.83846348959094,19.28196152819743,1.3054298720257935,3.612612612612613e-10,0.805863085407252,10719.530926824556,0.07195309268245564
