strategy_rank,pattern,lag,stop_loss,take_profit,trailing_stop,position_size,holding_time,strategy_total_return,strategy_win_rate,trade_id,entry_timestamp,exit_timestamp,entry_price,exit_price,size,pnl,return_pct,duration_minutes,direction,status
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-07-02 16:05:00+00:00,2025-07-11 13:56:00+00:00,0.16778,0.20287,29800.929789009413,1045.7146262963397,20.914292525926793,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-07-13 14:19:00+00:00,2025-07-15 01:22:00+00:00,0.2028,0.19297,27233.024226568883,-267.7006281471722,-4.847140039447733,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-07-15 18:36:00+00:00,2025-07-18 14:17:00+00:00,0.19306,0.24715,27913.638242383626,1509.8486925305297,28.017196726406286,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-07-20 22:08:00+00:00,2025-07-22 14:04:00+00:00,0.26852,0.25987,22880.721530388233,-197.91824123785864,-3.221361537315663,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-07-24 07:11:00+00:00,2025-07-29 16:46:00+00:00,0.22859,0.2207,26444.60485900923,-208.64793233758246,-3.4515945579421614,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-07-31 13:40:00+00:00,2025-08-01 00:24:00+00:00,0.21902999999999997,0.20956,27122.532340556674,-256.8503812650715,-4.323608638086104,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-08-01 00:51:00+00:00,2025-08-02 17:52:00+00:00,0.20398,0.19184,28494.083086182924,-345.9181686662605,-5.951563878811645,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-08-03 00:43:00+00:00,2025-08-10 03:09:00+00:00,0.19253,0.23973,29290.313112691336,1382.5027789190308,24.51565989715888,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-08-11 02:00:00+00:00,2025-08-11 12:44:00+00:00,0.23701999999999998,0.22704,26708.781423702552,-266.5536386085514,-4.210615137963041,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-08-12 12:30:00+00:00,2025-08-20 11:53:00+00:00,0.22567,0.2134,27461.508192235135,-336.95270551872545,-5.437142730535744,0.0,Long,Closed
10,btc_vol_breakout_10m,0,0.03,0.2,0.0,0.5,720,0.19806371871761566,0.36363636363636365,,2025-08-20 13:45:00+00:00,2025-08-29 21:36:00+00:00,0.21055,0.21235,28633.39919725643,51.54011855506178,0.85490382331988,0.0,Long,Open
