id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id,duration_minutes,return_pct,pnl_pct,entry_time,exit_time
0,0,44119.3319255706,0,0.21511,9.490509490507975,186,0.21162,9.33653302208925,-172.8035109328391,-0.01820803309934441,0,1,0,186.0,-1.820803309934441,-17280.35109328391,2025-03-03 15:17:00,2025-03-03 18:23:00
1,0,46897.52177029891,335,0.19887,9.326510154458447,393,0.19539,9.163306778698706,-181.69319269379582,-0.019481369739025235,0,1,1,58.0,-1.9481369739025236,-18169.319269379583,2025-03-03 20:52:00,2025-03-03 21:50:00
2,0,46838.283143149805,403,0.19544000000000003,9.154074057496473,622,0.19207,8.996229043304782,-175.99531729321805,-0.019225900532132755,0,1,2,219.0,-1.9225900532132756,-17599.531729321807,2025-03-03 22:00:00,2025-03-04 01:39:00
3,0,46890.564200101995,767,0.19166,8.987045534589925,1331,0.18865,8.84590493634924,-158.9735487132467,-0.017689189189189065,0,1,3,564.0,-1.7689189189189065,-15897.35487132467,2025-03-04 04:04:00,2025-03-04 13:28:00
4,0,47768.253526387954,1521,0.18498,8.836171537310292,1561,0.19364,9.249844612849763,395.58705938835965,0.044769056114174616,0,1,4,40.0,4.476905611417462,39558.70593883596,2025-03-04 16:38:00,2025-03-04 17:18:00
5,0,46895.09653034689,1580,0.19643,9.211603811454552,2596,0.20527,9.626156464784307,395.71489305202755,0.042958305757776455,0,1,5,1016.0,4.295830575777646,39571.489305202755,2025-03-04 17:37:00,2025-03-05 10:33:00
6,0,48712.755481228894,4983,0.19681,9.587157406260303,5653,0.20707,10.086950277498067,480.1187635536485,0.05007936588587965,0,1,6,670.0,5.007936588587965,48011.876355364846,2025-03-07 02:20:00,2025-03-07 13:30:00
7,0,49984.14580165448,5848,0.20092,10.042814574468139,6173,0.19787,9.89036292977337,-172.38482219928713,-0.017164991041210352,0,1,7,325.0,-1.7164991041210351,-17238.482219928712,2025-03-07 16:45:00,2025-03-07 22:10:00
8,0,60235.428299239116,10163,0.16401,9.879212595356876,10186,0.16105,9.70091572759246,-197.87699608869752,-0.020029632339491402,0,1,8,23.0,-2.0029632339491403,-19787.699608869752,2025-03-10 16:40:00,2025-03-10 17:03:00
9,0,62372.35966292238,10801,0.15538,9.691417244423064,11307,0.16268,10.146735469964213,435.4800728249458,0.04493461191916607,0,1,9,506.0,4.493461191916607,43548.00728249458,2025-03-11 03:18:00,2025-03-11 11:44:00
10,0,59614.80838249067,28351,0.1695,10.10471002083068,28517,0.17061,10.170882458136735,45.89684482559616,0.00454212389380535,0,1,10,166.0,0.45421238938053504,4589.684482559616,2025-03-23 07:48:00,2025-03-23 10:34:00
11,0,59318.847702667445,28637,0.17108,10.148268464970897,30172,0.179,10.618073738777472,449.0389316013763,0.04424783726911386,0,1,11,1535.0,4.424783726911386,44903.89316013763,2025-03-23 12:34:00,2025-03-24 14:09:00
