id,col,size,entry_idx,entry_price,entry_fees,exit_idx,exit_price,exit_fees,pnl,return,direction,status,parent_id,duration_minutes,return_pct,pnl_pct,entry_time,exit_time
0,0,45693.35334862539,211,0.20769999999999997,9.490509490507975,217,0.20577,9.402321318546647,-107.08100277190007,-0.011282956186807575,0,1,0,6.0,-1.1282956186807576,-10708.100277190008,2025-03-03 18:48:00,2025-03-03 18:54:00
1,0,45383.237447812695,223,0.20688,9.388884163203329,225,0.20675,9.382984342335273,-24.671689373755523,-0.002627755220417751,0,1,1,2.0,-0.2627755220417751,-2467.168937375552,2025-03-03 19:00:00,2025-03-03 19:02:00
2,0,45357.75606832932,226,0.20648,9.36546947298848,227,0.20546,9.319204561798943,-64.94958522448276,-0.0069350058117008135,0,1,2,1.0,-0.6935005811700814,-6494.958522448276,2025-03-03 19:03:00,2025-03-03 19:04:00
3,0,45342.50698128992,228,0.20519,9.303829007489185,231,0.20597,9.339196162936283,16.724130274979466,0.0017975534870120905,0,1,3,3.0,0.17975534870120904,1672.4130274979466,2025-03-03 19:05:00,2025-03-03 19:08:00
4,0,45470.82874317133,233,0.20496000000000003,9.31970105919936,238,0.2027,9.21693698624083,-121.30071100500797,-0.013015515222482385,0,1,4,5.0,-1.3015515222482386,-12130.071100500796,2025-03-03 19:10:00,2025-03-03 19:15:00
5,0,45111.64724711106,248,0.20404,9.204580504299884,250,0.20414,9.20909166902525,-13.902507448614736,-0.0015103901195844007,0,1,5,2.0,-0.15103901195844008,-1390.2507448614735,2025-03-03 19:25:00,2025-03-03 19:27:00
6,0,45084.54562423233,251,0.20387,9.191386316411808,258,0.20259,9.133678098013226,-76.03328281344376,-0.00827223230490028,0,1,6,7.0,-0.827223230490028,-7603.328281344377,2025-03-03 19:28:00,2025-03-03 19:35:00
7,0,45115.65258595304,259,0.20213,9.119226857197646,263,0.20439,9.221188232042941,83.62095975501285,0.00916974224508986,0,1,7,4.0,0.916974224508986,8362.095975501285,2025-03-03 19:36:00,2025-03-03 19:40:00
8,0,45244.14641884184,265,0.20331,9.198587408413005,266,0.20289,9.17958486691882,-37.38071377124638,-0.004063745019920237,0,1,8,1.0,-0.4063745019920237,-3738.071377124638,2025-03-03 19:42:00,2025-03-03 19:43:00
9,0,44970.117817696955,273,0.20376,9.163111206533358,274,0.20289,9.123987204032536,-57.411100911961704,-0.006265459363957476,0,1,9,1.0,-0.6265459363957476,-5741.11009119617,2025-03-03 19:50:00,2025-03-03 19:51:00
10,0,45513.54193138147,303,0.20013,9.108625146725899,304,0.19992,9.099067302921783,-27.765536255238572,-0.003048268625393418,0,1,10,1.0,-0.30482686253934177,-2776.553625523857,2025-03-03 20:20:00,2025-03-03 20:21:00
11,0,45513.77718964386,305,0.19955,9.08227423819153,306,0.19985,9.095928371350325,-4.524069452648561,-0.0004981207717361826,0,1,11,1.0,-0.049812077173618255,-452.4069452648561,2025-03-03 20:22:00,2025-03-03 20:23:00
12,0,45645.51823102284,313,0.19888,9.077980665784708,314,0.19961,9.111301894094469,15.131945748767647,0.0016668845534997371,0,1,12,1.0,0.1666884553499737,1513.1945748767646,2025-03-03 20:30:00,2025-03-03 20:31:00
13,0,45745.32930800804,319,0.19876000000000002,9.0923416532587,320,0.19839,9.075415881415717,-35.09352937863655,-0.0038596800160996193,0,1,13,1.0,-0.3859680016099619,-3509.3529378636554,2025-03-03 20:36:00,2025-03-03 20:37:00
14,0,45695.01188346701,321,0.19825,9.059036105896666,323,0.19611,8.961248780466715,-115.80761031698299,-0.012783656998738915,0,1,14,2.0,-1.2783656998738915,-11580.7610316983,2025-03-03 20:38:00,2025-03-03 20:40:00
15,0,44938.88110584855,337,0.19914,8.949128783417109,342,0.19931,8.956768393206675,-10.266287388630461,-0.0011471828864114983,0,1,15,5.0,-0.11471828864114983,-1026.6287388630462,2025-03-03 20:54:00,2025-03-03 20:59:00
16,0,45009.74549936694,361,0.19861,8.939385553629108,362,0.19872,8.944336625634199,-12.932650174334006,-0.001446704596948895,0,1,16,1.0,-0.1446704596948895,-1293.2650174334005,2025-03-03 21:18:00,2025-03-03 21:19:00
17,0,44977.38719119092,363,0.19848,8.92711180970582,364,0.19857,8.93115977455478,-13.810306737054143,-0.0015470072551389414,0,1,17,1.0,-0.15470072551389413,-1381.0306737054143,2025-03-03 21:20:00,2025-03-03 21:21:00
18,0,44911.35189939586,365,0.19848,8.914005124990581,379,0.1984,8.910412216840138,-21.41732549378235,-0.0024026602176539986,0,1,18,14.0,-0.24026602176539985,-2141.732549378235,2025-03-03 21:22:00,2025-03-03 21:36:00
19,0,44890.36438474703,381,0.19812,8.89367899190438,385,0.19834,8.903554872070725,-7.921353699331501,-0.0008906723198060702,0,1,19,4.0,-0.08906723198060702,-792.1353699331501,2025-03-03 21:38:00,2025-03-03 21:42:00
20,0,44897.74264177425,387,0.19792,8.886161223659656,393,0.19539,8.772569934776271,-131.25002004212607,-0.014770159660468985,0,1,20,6.0,-1.4770159660468984,-13125.002004212607,2025-03-03 21:44:00,2025-03-03 21:50:00
21,0,44878.33974069572,398,0.19523000000000001,8.7615982675743,399,0.19414,8.712680877258668,-66.39166946219075,-0.007577575167750597,0,1,21,1.0,-0.7577575167750596,-6639.166946219075,2025-03-03 21:55:00,2025-03-03 21:56:00
22,0,44310.47420235269,404,0.19631,8.69858919066246,421,0.19687,8.723403056217174,7.391873306437011,0.0008497784116958488,0,1,22,17.0,0.08497784116958487,739.1873306437011,2025-03-03 22:01:00,2025-03-03 22:18:00
23,0,44074.54665370897,422,0.19752,8.705604455039065,423,0.19707,8.685770909046425,-37.22492135825547,-0.004275972053462873,0,1,23,1.0,-0.4275972053462873,-3722.492135825547,2025-03-03 22:19:00,2025-03-03 22:20:00
24,0,43926.82190747388,424,0.19738,8.670276108096004,441,0.19811,8.70234268808965,14.693961196271609,0.0016947512412608036,0,1,24,17.0,0.16947512412608037,1469.396119627161,2025-03-03 22:21:00,2025-03-03 22:38:00
25,0,43771.2773483661,442,0.1984,8.684221425914075,450,0.199,8.710484192324856,8.868060790782494,0.0010211693548391153,0,1,25,8.0,0.10211693548391153,886.8060790782494,2025-03-03 22:39:00,2025-03-03 22:47:00
26,0,43450.153291140494,458,0.20006,8.692637667425515,464,0.19934,8.661353557055945,-48.63810159410244,-0.005595321403578901,0,1,26,6.0,-0.5595321403578901,-4863.810159410244,2025-03-03 22:55:00,2025-03-03 23:01:00
