strategy_rank,pattern,total_trades,winning_trades,losing_trades,win_rate,total_pnl,avg_trade_return,best_trade_return,worst_trade_return,avg_duration_minutes,trades_file
1,btc_small_down_10m,30,26,4,86.66666666666667,3054.94431901222,1.8524278282769153,12.739841986455982,-12.035476718403546,0.0,strategy_01_btc-small-down-10m_trades.csv
2,btc_hl_breakout_2m,14,7,7,50.0,2528.6391202389414,3.607515516239986,24.963511259382816,-11.01056378024309,0.0,strategy_02_btc-hl-breakout-2m_trades.csv
3,btc_hl_breakout_5m,14,5,9,35.714285714285715,2516.1424562643297,3.563478225957415,24.963511259382816,-11.010563780243086,0.0,strategy_03_btc-hl-breakout-5m_trades.csv
4,btc_small_up_9m,37,26,11,70.27027027027027,2782.1303394620018,1.3745702096262031,12.681551116333726,-5.135169013496007,0.0,strategy_04_btc-small-up-9m_trades.csv
5,btc_hl_breakout_4m,9,3,6,33.33333333333333,2351.7194912346667,5.4121325684257995,38.870500620604034,-11.858241140071248,0.0,strategy_05_btc-hl-breakout-4m_trades.csv
6,btc_small_down_10m,36,29,7,80.55555555555556,2654.1445553371204,1.3604041583982556,12.739841986455986,-7.45332625789956,0.0,strategy_06_btc-small-down-10m_trades.csv
7,btc_small_down_10m,8,3,5,37.5,2280.885218534827,5.956763021245502,38.87050062060404,-12.393767705382446,0.0,strategy_07_btc-small-down-10m_trades.csv
8,btc_hl_breakout_7m,10,5,5,50.0,2266.0179781787283,4.555868355286175,21.475545490178998,-11.010563780243086,0.0,strategy_08_btc-hl-breakout-7m_trades.csv
9,btc_hl_breakout_9m,15,7,8,46.666666666666664,2223.076899990904,2.9607262650233412,17.526228061574667,-11.010563780243093,0.0,strategy_09_btc-hl-breakout-9m_trades.csv
10,btc_alt_aligned,8,3,5,37.5,2126.711903210805,5.666640544838623,39.461929988573814,-12.732065943858602,0.0,strategy_10_btc-alt-aligned_trades.csv
